job_description,proposal
"We are seeking a skilled Full Stack Engineer who possesses strong Machine Learning (ML) expertise. Passionate about Voice ai and LLMs Familiar with TTS,STT,ASR In this role, you will be responsible for designing, developing, and maintaining web applications while integrating ML algorithms and models. The ideal candidate should have a solid understanding of both front-end and back-end technologies, along with experience in implementing ML solutions. If you are passionate about building innovative applications and have a knack for solving complex problems, we want to hear from you!","Hi, I’ve gone through your job post, and with my expertise in voice AI and full-stack development, I’m confident I can deliver the ML-powered web application you need. As a Full Stack Engineer with ML specialization, I’ve built voice-enabled web apps using TTS (ElevenLabs, Coqui), STT (Whisper, Deepgram), and custom LLM fine-tuning. Recently I worked on a voice-first customer portal that use gpt-4 + whisper for real-time transcription. Integrated TTS (ElevenLabs) for dynamic agent responses Let's connect and get started, I'm available 9am-5pm EST. Best, Bilal."
"***Do not attempt to contact us outside of Upwork. vendors who email or call us will be removed from consideration. **** Please review the attached scope document. The majority of key pages have already been designed in desktop and mobile (iPhone) layout https://xd.adobe.com/view/91709845-7332-4523-b310-426ce6ccf6b8-c423/grid Please review our existing website: broadfence.com This project has 3 main components 1) Build the WordPress theme as described in the scope document attached 2) Migrate content from the current site to the new site 3) Using Elementor, and the templates you created, build bespoke pages for content to migrate from our existing site. There will be 5-10 Elementor-designed pages on this site. The remainder of the pages will be built using static page templates, advanced custom fields, and other concepts. Code Quality + Speed are our two main concerns.","Hey Kevin, I've looked in the doc & the job post. It seems that you've summed pretty much everything in that doc. I appreciate that. As for me, you might be wondering that this guy cannot deliver on time since you are looking for agency. I want you to let know that I'm affiliated to the agency: https://onesoltech.co.uk/ And I've several developers and designer that are working under my supervision. So, how about we get on chat and get started. btw my working hours are from 9am - 5 pm EST Mon-Fri proactive in these specific hours. Looking forward to your response. Best, Muhammad Bilal"
"As we scale, we’re doubling down on automation — and we’re looking for a highly skilled Automation Specialist to help us turn complex internal workflows into streamlined, scalable systems. You’ll work directly with leadership and team leads to take manual processes, map them end-to-end, and fully automate them using n8n, Make.com, and custom API integrations. This role is a blend of engineering logic, operational thinking, and AI-first creativity. What You’ll Do -- Design and build advanced automations using n8n and Make.com to eliminate manual processes across departments -- Integrate APIs and internal tools — connect CRMs, databases, webhooks, Slack, Airtable, and more to build robust automation pipelines -- Leverage AI tools — use AI services like OpenAI, Claude, and others to enhance workflows and decision-making steps -- Optimize & scale workflows — refactor existing automations for efficiency, reliability, and easier handoff -- Document and standardize — create clear documentation for every automation so they’re easy to maintain and update -- Collaborate cross-functionally — work closely with operations, sales, communications, and leadership to identify high-impact automation opportunities You Must Have -- Deep hands-on experience with n8n — you’ve built complex workflows and know how to troubleshoot them -- Proficiency with Make.com, API authentication, and REST APIs -- Strong technical foundation — you can work with webhooks, JSON, and understand how data moves between systems -- Experience integrating AI tools (OpenAI, Claude, Zapier AI, etc.) into business automations -- A systems mindset — you naturally look for ways to make things faster, cleaner, and smarter -- Comfort working autonomously and delivering results in a remote, async environment You Should Have -- 2+ years in a technical automation, operations engineering, or low-code/no-code dev role -- Experience with tools like Airtable, Slack, ClickUp, Google -- Workspace, CRMs, and internal APIs -- A proactive, entrepreneurial approach to problem-solving — you don’t wait to be told what to automate -- Strong documentation and communication skills What We Offer -- A key role in shaping how the entire company runs behind the scenes -- Career growth in a high-leverage technical operations role Profit sharing and long-term upside as we scale -- A remote-first team — work from anywhere If you’re obsessed with automation, fluent in n8n, and love building smart, scalable workflows — let’s talk.","Hi JV, Just saw your job post and wanted to send you a proposal. I specialize in automation and AI-driven workflows, with hands-on experience in n8n, Make.com, and custom API integrations. Your focus on end-to-end workflow automation, AI-enhanced systems, and documentation aligns perfectly with my skill set and the way I work. I’ve helped startups and scaling teams turn manual. Let me know if you would like to proceed. I'm available 9am-5pm EST. Best, Bilal."
"Hello experienced developers, We are seeking a skilled Senior Python Developer with expertise in AI to help build a cutting-edge web application. The main features of the project include: Extracting text from PDF documents Using OpenAI to detect outdated or incorrect terms, Highlighting detected mistakes with a red border in an editing dashboard, customization based on user requirements. If you are available to start immediately and can work during the EST time zone, please apply now","Hey Mason, I've been working as python developer for almost 5 years. still I don't call myself senior because there is so much in AI that I still need to look at and get hands on experience. As for what you are looking for: I've experience with text extraction from pdfs in bulk I've also worked with llms to finetune different setups. e.g: Last project of mine was Mediator chatbot. I've had to finetune the model to get the accuracy more than 90%. Also it will be tricky but I'd like to know which part would be highlighted in the setup( need a little bit of elaboration ) I'm available all day to jump on a call between 11:30AM EST to 5:30PM and same next week. Looking forward to your reply. Thanks, Bilal."
"The Website Redesign Project aims to revamp the existing online presence of Umojo to better reflect its brand identity, enhance user experience, and align with current product offerings. The redesign will focus on utilizing Divi developer to modernize visual design, improving site navigation, optimizing performance, and ensuring responsiveness across all devices. Key deliverables will include: A refreshed, modern visual design aligned with brand guidelines Improved information architecture and navigation Fully responsive layouts for desktop, tablet, and mobile Streamlined content and updated copy - To be provided to designer Enhanced page load speed and performance optimization Integration of analytics and tracking tools","Hey, I have read the job post and I'm available to redesign and develop your website for a modern and professional fresh look that works for years. I have years of experience re-branding websites and finding gaps in design/development and improving them for more conversions/clicks. Here is what I can do on this project. - I will create the Wireframes to get an approval of how things will be laid out and then work on the Design - I have been using this approach for years and this works to avoid design and feature confusions. - Yes, I can create the architect of your website but will first have to go through Analytics and Heatmaps to see Exiting traffic on the website, this gives an opportunity to fill the gaps for all types of audience [further more, Google suggests to look for your audience and then create the navigation architecture.] - Yes, all my designs are fully responsive and compatible with all possible resolutions, including Mobile, Desktops and Laptops. - Yes, I would need the copy of your website so I can design it accordingly, copy is a crucial element when designing the website, specially the homepage as most of the traffic is navigating to other pages through the Homepage - small sections and CTAs creates a big impact on design. - Yes, I am an expert level developer to enhance page speed, specially when it is being re-developed, I will take care of the Database Size, File Structure and also the Images been used on the website. Most of my websites score above 90% on Mobile and Desktop."
"Job Description We are a dynamic agency seeking an exceptional web developer to join our team of freelancers for a long-term partnership. Our projects span multiple industries, requiring a versatile professional who can manage, develop, and optimize WordPress and WooCommerce websites with expertise and efficiency. We value trust, clear communication, and proactive problem-solving, as our developer will need to tackle urgent issues and take on diverse development tasks. This is an opportunity to work with a supportive team on challenging, rewarding projects. Responsibilities Build, customize, and maintain WordPress and WooCommerce websites, ensuring functionality and scalability. Optimize sites for performance, security, and search engine visibility. Integrate third-party tools and APIs, including e-commerce and marketing platforms. Manage hosting, domains, and server-side configurations for seamless deployments. Troubleshoot and resolve technical issues quickly and effectively. Collaborate with our team to deliver high-quality solutions within deadlines. Required Skills and Qualifications Core Web Development Proficiency in HTML, CSS, and JavaScript: Ability to create responsive, accessible, and cross-browser-compatible designs. Modern Front-End Tools: Familiarity with preprocessors (e.g., SASS, LESS), task runners (e.g., Gulp), and frameworks (e.g., Bootstrap or Tailwind CSS). WordPress Mastery Custom Development: Experience building custom WordPress themes and plugins from scratch, leveraging PHP and the WordPress Codex. APIs and Integrations: Expertise with the WordPress REST API and hooks/filters for advanced functionality. Ecosystem Knowledge: Proficiency with popular tools like ACF (Advanced Custom Fields), WPML, and page builders (e.g., Elementor, Beaver Builder). WooCommerce Expertise E-Commerce Solutions: Deep knowledge of WooCommerce setup, including product management, payment gateways (e.g., PayPal, Stripe, Square), and shipping/tax configurations. Advanced Features: Experience with subscriptions, memberships, and dynamic pricing, plus support for multi-vendor setups (e.g., Dokan, WC Vendors). Global Reach: Ability to implement multi-currency, multi-language, and GDPR-compliant e-commerce sites. Performance & Optimization Speed Enhancement: Skills in caching (e.g., Redis, LiteSpeed), lazy loading, and CDN integration (e.g., Cloudflare, KeyCDN). Analysis Tools: Proficiency with GTmetrix, Pingdom, and Google PageSpeed Insights to diagnose and improve performance. Code Efficiency: Ability to minify assets, optimize images (e.g., WebP), and reduce server response times. Security & Reliability Hardening Practices: Knowledge of securing WordPress with two-factor authentication, secure hosting, and file permissions. Threat Mitigation: Experience with security plugins (e.g., iThemes Security, All In One WP Security) and handling malware removal. Backup & Recovery: Expertise in automated backups (e.g., UpdraftPlus) and disaster recovery planning. Server & Infrastructure Management Hosting Environments: Familiarity with managed WordPress hosting (e.g., WP Engine, Kinsta) and VPS setups (e.g., AWS, Linode). Database Skills: Proficiency in MySQL/MariaDB for optimization, indexing, and migrations. Deployment: Experience with SSH, FTP/SFTP, and staging environments for safe updates. Marketing & Analytics Integrations Google Ecosystem: Ability to configure Google Analytics, Search Console, Tag Manager, and Ads for tracking and campaigns. E-Commerce Sync: Expertise in syncing WooCommerce with Google Merchant Center, Facebook Shop, and other marketplaces. Email Marketing: Integration with tools like Mailchimp, Klaviyo, or ActiveCampaign for automated workflows. SEO & Content Optimization Technical SEO: Mastery of Yoast SEO or Rank Math, plus skills in sitemaps, schema markup, and crawl optimization. Content Delivery: Understanding of Core Web Vitals, AMP, and mobile-first indexing. Keyword Strategy: Ability to collaborate on keyword-driven site structures and internal linking. Collaboration & Workflow Version Control: Proficiency with Git (e.g., GitHub, Bitbucket) for team-based development. Task Management: Experience with tools like Jira, ClickUp, or Monday.com to track progress. Communication: Strong written and verbal skills to liaise with clients, designers, and developers. Additional Preferences Availability for hourly work under $40/hour. Proven Upwork track record with a success rate above 90%. Portfolio showcasing WordPress, WooCommerce, and optimization projects. What We Offer A consistent flow of engaging projects with long-term potential. Competitive, punctual payments and a transparent working relationship. A collaborative environment where your input and expertise are valued. Remote flexibility with an emphasis on availability for urgent tasks. Application Instructions We’re looking for a dependable, skilled developer to elevate our technical capabilities. Please submit: Your Upwork profile. Links to WordPress/WooCommerce projects demonstrating your skills. A short note explaining how your experience aligns with our needs regarding google integrations and performance for our databases and ecommerce needs. Join us to create impactful digital solutions and grow with our agency","Hi, Your need for a versatile WordPress and WooCommerce developer for long-term partnership aligns perfectly with my expertise. I excel in building, customizing, and optimizing these platforms for diverse industries, with a strong focus on performance, security, and seamless integrations. My proficiency includes: WordPress & WooCommerce Mastery: Custom development, APIs, popular plugins (ACF, WPML, Elementor, Beaver Builder), and comprehensive e-commerce solutions (payment gateways, shipping, advanced features). Performance & Optimization: Speed enhancement (caching, CDN), analysis tools (GTmetrix, PageSpeed Insights), and code efficiency. Google & Marketing Integrations: Analytics, Search Console, Tag Manager, Merchant Center, Facebook Shop, and email marketing tools. Database & E-commerce Performance: Skilled in optimizing MySQL and implementing WooCommerce-specific performance enhancements. My Upwork profile: https://www.upwork.com/freelancers/~01b4daaa8578f2054d Relevant project links: https://autoliftpartsplus.com/ https://micro-vision.ca/ Regarding your needs for Google integrations and database/e-commerce performance, I have a strong track record of successful implementation and optimization. I am available for hourly work under $40/hour and have a proven Upwork success rate above 90%. I'm eager to contribute to your team's success. Sincerely, Muhammad Bilal"
"Project goal Develop a corporate design and a WordPress single-page website for our psychosocial community practice. Scope of work - Create a unique Corporate Design including logo, layout elements, and fonts for brand recognition. - Develop templates in GIMP for signage, documents, print materials, and business cards. - Complete WordPress-based Single Page Website for showcasing team and facilities. Additional information - Looking for expertise in graphic and web design/web development","Hi, Thank you for the opportunity to propose a solution for your psychosocial community practice’s branding and web presence. With 5+ years of experience in holistic design and WordPress development, I specialize in creating cohesive, accessible designs for healthcare and community-focused organizations. Questions for Clarity Do you have existing branding elements to incorporate? Should the website include multilingual support? Are there specific accessibility requirements (e.g., screen reader compatibility)? Why Partner With Me? Healthcare Design Expertise: Created branding for 2 health nonprofits (https://onecommunityhealth.com/, https://www.mercyhealthfitness.com/). Performance Focus: Recent WordPress site scored 98/100 on PageSpeed. Collaborative Process: Weekly updates + 3 revision rounds included. Next Steps: Let’s schedule a call to discuss your vision for the practice’s identity. I’ll share a free mood board draft within 48 hours. Warm regards, Muhammad Bilal"
"We’re looking for a freelance automation wizard to help us bring some bold ideas to life. We run a mix of established companies and startups, and we need someone who can build smart systems that save time, connect people, and make data work harder for us. Here’s what you’ll get to work on: • Automating introductions between people by pulling data from emails, LinkedIn and transcripts • Building data pipelines to preload information into emails, CRM records, and meeting notes • Creating custom databases and workflows tailored to our platforms • Developing or connecting APIs that tie together tools like email, Otter, Asana, Zoom, LinkedIn, and other apps • Exploring AI tools to generate personalized communication using pre-recorded voice We already have some manual processes running—we’re looking for someone to help automate them so they’re scalable, seamless, and smart. You’d be working directly with leadership, contributing to both our mature companies and our startups. What we’re looking for: • Experience building automations using platforms like Zapier, Make, or similar • Solid understanding of APIs and integrations • Ability to work with data from multiple sources (email, LinkedIn, transcripts) • Bonus if you have coding skills (Python, JavaScript) or experience building custom workflows • Someone proactive, communicative, and excited to solve problems creatively Why this gig’s awesome: You’ll be working in an environment that’s part startup, part established business—which means every day’s a little different. You’ll have a direct line to decision-makers, plenty of room to experiment, and the chance to work on meaningful projects that aren’t just “busy work.” We’re collaborative, flexible, and excited about building tools that actually make people’s lives easier. We’re starting with a few projects, but there’s real potential for ongoing work if it’s a great fit. Interested? Send us a quick message about your experience, some examples of similar work you’ve done, and why this project excites you","Hi, I've a few questions: What specific automation challenges are you facing with your current processes? Are there any particular KPIs or outcomes you hope to achieve through these automations? I believe I can help streamline your systems effectively. I've over 5 years of experience in building automations using tools like Zapier and Make, I’m well-versed in integrating APIs and creating custom workflows. I’ve successfully developed smart systems that leverage data from various sources like emails and CRM platforms to enhance productivity. https://www.asseta.ai/ Automated Investor Intro System Connects founders to VCs via Calendly + Airtable. Next Steps Let’s hop on a 15-minute call to discuss: Your top-priority workflow. Data security preferences (e.g., GDPR-compliant scraping). I’ll send a free automation roadmap post-call. Excited to collaborate! Cheers, Muhammad Bilal"
"I am seeking a skilled website designer to create a personal website that reflects my vision and style. I have two reference websites that I would like to model my site after, focusing on aesthetics and functionality. I currently have a WIX website and would prefer to modify it, however, I am open to changing companies (squarespace, etc.). The ideal candidate should have experience in designing modern, user-friendly websites and be able to incorporate my content seamlessly. If you have a portfolio showcasing similar projects, please share it. Let's work together to bring my online presence to life! reference websites: https://joshlinkner.com, https://www.bennemtin.com","Hi, With extensive experience in WIX and other platforms like Squarespace, I’m confident we can modify your current site or start fresh based on your preferences! I’ve designed multiple personal websites that seamlessly integrate content and provide an engaging user experience. Here are some of them: https://www.katyandersoninteriors.com/ https://iriswagner.com/ https://marczale.com/ I've a few questions: What specific content do you want to include on your website (e.g., blog, portfolio, contact forms, social media integration)? What is your timeline for this project, and do you have a budget in mind? How flexible are you with these aspects? After the website is launched, how do you envision managing updates and maintenance? Would you prefer to handle it yourself, or would you like ongoing support from the designer? Feel free to check out my portfolio showcasing similar projects. I’m excited to help bring your online presence to life! Best Regards, Muhammad Bilal"
"Job Title: Web Developer (Project-Based, Pending Bid Approval) Job Type: Contract / Project-Based Pay: Based on project scope and experience Position Overview: This role will involve developing a responsive, user-friendly website for a client in a professional service industry. The ideal candidate has experience building custom WordPress websites, eCommerce functionality (if applicable), and a keen eye for clean UI/UX. Please Note: This is a conditional role pending final client bid approval. If our proposal is accepted, this position will be activated immediately. Key Responsibilities: Develop a fully functional and visually appealing website based on client specs Ensure responsive design and browser compatibility across devices Collaborate with our creative and content teams to implement client feedback Troubleshoot, test, and maintain the website for performance, scalability, and user experience Integrate third-party tools as needed (e.g., booking systems, payment gateways, analytics) Provide technical support and updates post-launch (if retained) Requirements: Proven experience as a Web Developer (portfolio required) Strong proficiency in HTML, CSS, JavaScript, WordPress (Elementor, Divi, or custom themes) Familiarity with SEO best practices and website optimization Ability to meet deadlines and communicate effectively with remote teams Understanding of cross-browser compatibility and responsive design","Hi, I am a full-stack developer with 9+ years of experience focused on WordPress & E-Commerce development such as Shopify, WooCommerce, & Big Commerce. With a keen eye for UI/UX, I can create any new or pre-existing designs to match the current asthetics of the site. With extensive experience in similar projects, paired with my skills, make me the perfect candidate for this job. https://www.gcefcu.org/ (WordPress/Elemementor) https://www.mckissock.com/ (WordPress/WP-Bakery) https://www.colibrirealestate.com/ (WordPress/WP-Bakery) I'm also experienced in Custom development, troubleshooting, and further customizations in existing frameworks, such as custom web development, plugin customization and optimization. I'm also experienced in page speed optimizations, maintenance and updates along performing SEO audits. I'm available to discuss this job over a call or zoom. I work 9 am-5:30 pm EST, Mon-Fri and respond proactively during these hours. Thank you for your time. Best, Muhammad Bilal"
