"air3-link","air3-link href","highlight","highlight 2","air3-badge-tagline","sr-only 3","air3-rating-value-text","air3-popper-content","air3-badge-tagline 2","air3-badge-tagline 4","job-tile-info-list","job-tile-info-list 2","mr-1","job-tile-info-list 3","mb-0","highlight 3","highlight 4","highlight 5","highlight-color","air3-token","air3-token 2","air3-token 3","air3-token 4","air3-token 5","pr-6","air3-token 6"
"Need a skilled  to turn .txt to working mu3 file with correct server recommendation","https://www.upwork.com/jobs/Need-skilled-span-class-highlight-developer-span-turn-txt-working-mu3-file-with-correct-server-recommendation_~021915373255104371657/?referrer_url_path=/nx/search/jobs/","developer","","Payment verified","Rating is 5.0 out of 5.","5.0","4.97 Stars, based on 153 feedbacks","$8K+","United States","Fixed price","Expert","Est. budget:","$15.00","I need an expert to convert a txt file into a functional mu3 file URL. I've attempted it but haven't succeeded. It says I need a server for the IPTV channels. I used Chaaatgpt and they did give me a url link but that link stopped working after 3-4 hours. I assume because it wasn't a correct server that can hold over 5,000 list of channels. I do have GitHub and Cloudflare, but my attempts to create a working link have not worked. I need this done immediately. right now","","","","Web Development","PHP","WordPress","JavaScript","HTML","MySQL","","Node.js"
"Bubble.io    Needed To Make Airbnb-like Website From Scratch","https://www.upwork.com/jobs/Bubble-span-class-highlight-Full-span-span-class-highlight-Stack-span-span-class-highlight-Developer-span-Needed-Make-Airbnb-like-Website-From-Scratch_~021915356777825413277/?referrer_url_path=/nx/search/jobs/","Full","Stack","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","India","Fixed price","Intermediate","Est. budget:","$350.00","We are seeking a skilled Bubble.io    to build a user-friendly website similar to Airbnb for our innovative concept. The ideal candidate should have experience in creating responsive web applications with a focus on user experience and functionality. You will work collaboratively to implement features such as property listings, booking systems, and user accounts. Strong problem-solving skills and attention to detail are essential. If you are passionate about turning ideas into reality, we would love to hear from you!","full","stack","developer","Web Development","Web Design","API Integration","Bubble.io","","","5 to 10",""
"Very Simple Security fix needed for Betfair API app  - Possible Extra Work Later","https://www.upwork.com/jobs/Very-Simple-Security-fix-needed-for-Betfair-API-app-span-class-highlight-development-span-Possible-Extra-Work-Later_~021915358034780462025/?referrer_url_path=/nx/search/jobs/","development","","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Stars, based on 7 feedbacks","$10K+","United Kingdom","Fixed price","Intermediate","Est. budget:","$30.00","I have a very simple problem whereby I cannot login to my app because it has a security warning. 

I just need this fixed so I can log back in and use my software. 

I have attached the issue. 

If you manage to help me quickly and efficiently, there may be future work on this app for actual  of the app.","development","","","Full-Stack Development","API","API Integration","Gambling","","","5 to 10",""
"React  Needed for Customer Identification Portal","https://www.upwork.com/jobs/React-span-class-highlight-Developer-span-Needed-for-Customer-Identification-Portal_~021915359026822509853/?referrer_url_path=/nx/search/jobs/","Developer","","Payment verified","Rating is 4.0 out of 5.","4.0","3.95 Star, based on 1 feedbacks","$800+","IND","Fixed price","Expert","Est. budget:","$1,000.00","We are seeking an experienced React  to create an innovative portal that can identify existing customers through face recognition, audio analysis, or vehicle ID. The ideal candidate should have a strong understanding of React and related technologies as well as experience with biometric authentication systems. Your expertise will help us enhance our customer service capabilities and streamline our identification process. If you are passionate about building cutting-edge applications and have the required skills, we would love to hear from you!

- For face recognition we are looking to use Azure Face API.","developer","","","Web Development","React","JavaScript","HTML","CSS","","15 to 20",""
"English Learning Platform","https://www.upwork.com/jobs/English-Learning-Platform_~021915374442176994994/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 5.0 out of 5.","5.0","4.97 Stars, based on 37 feedbacks","$6K+","Japan","Hourly: $19.00 - $19.00","Intermediate","Est. time:","3 to 6 months, 30+ hrs/week","Freelance  Agreement
Parties:
•	Client: Pierre Malaval, representing Bee Language School
•	: Andrii Cherniakhovych
Effective Date: 2025/4/25
1. Scope of Work: Andrii will  and implement features for the Ai-eigo platform, focusing on UX enhancements, interactive quizzes, and gamification elements as per the project requirements.
2. Compensation:
•	Hourly Rate: $19/hour
•	Payment Schedule: Bi-weekly payments upon submission of timesheets and deliverables.
3. Timeline:
•	Project Commencement: 2025/4/25
•	Estimated Completion: 2025/8/25
•	Regular check-ins to be scheduled weekly to assess progress.
4. Confidentiality: Andrii agrees to maintain the confidentiality of all proprietary information related to Bee School and the Ai-eigo project.
5. Intellectual Property: All work produced by Andrii under this agreement will be the sole property of Bee School.
6. Termination: Either party may terminate this agreement with a 14-day written notice. Compensation will be provided for all work completed up to the termination date.
Signatures:
________________________________________
Pierre Malaval
Bee Language School","Development","Developer","develop","","Web Application","JavaScript","","","","5 to 10",""
"Social Media Web App  Needed","https://www.upwork.com/jobs/Social-Media-Web-App-span-class-highlight-Developer-span-Needed_~021915357012649593197/?referrer_url_path=/nx/search/jobs/","Developer","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","Lesotho","Fixed price","Intermediate","Est. budget:","$16.00","I am looking for a skilled  to help complete my social media web-based app. You will be added as a collaborator on my GitHub repository and will receive clear instructions on the additional features to implement. Your expertise in web applications and social media integrations will be crucial for bringing this project to completion. If you are passionate about building engaging and user-friendly applications, I'd love to hear from you!","developer","","","Web Development","Node.js","Vue.js","MySQL","JavaScript","Web Design","Less than 5",""
"MERN   Needed for WebRTC & Live Streaming Projects","https://www.upwork.com/jobs/MERN-span-class-highlight-Stack-span-span-class-highlight-Developer-span-Needed-for-WebRTC-amp-Live-Streaming-Projects_~021915348586745842029/?referrer_url_path=/nx/search/jobs/","Stack","Developer","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","India","Fixed price","Intermediate","Est. budget:","$200.00","We are seeking an experienced MERN   to join our team for an exciting project focused on WebRTC and live streaming applications. The ideal candidate will have a deep understanding of JavaScript and experience with MongoDB, Express.js, React.js, and Node.js. You will be responsible for building scalable and efficient applications that provide seamless real-time communication. If you are passionate about live streaming technology and enjoy working in a collaborative environment, we want to hear from you!","Stack","Developer","","","JavaScript","Node.js","React","WebRTC","API Integration","5 to 10",""
"Twilio  Needed for Power Dialer Fix","https://www.upwork.com/jobs/Twilio-span-class-highlight-Developer-span-Needed-for-Power-Dialer-Fix_~021915357644795147549/?referrer_url_path=/nx/search/jobs/","Developer","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","United States","Hourly: $10.00 - $20.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking an experienced Twilio  to troubleshoot and fix issues with our browser-based power dialer. The ideal candidate will have a strong grasp of Twilio APIs and relevant telecommunication integrations. You will be responsible for diagnosing problems, implementing solutions, and ensuring the dialer operates smoothly. If you have a passion for communication technologies and a proven track record in Twilio , we want to hear from you!","developer","development","","","JavaScript","API","PHP","Twilio API","Customer Relationship Management","10 to 15",""
"Senior Front-end","https://www.upwork.com/jobs/Senior-Front-end-span-class-highlight-developer-span_~021915410530949996457/?referrer_url_path=/nx/search/jobs/","developer","","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","Ukraine","Hourly: $15.00 - $30.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","Do not apply if you have not read the job description:

Job Title: Senior-level Front-end Software 

Company: RI Software

Location: Remote

Job Description:
We are actively seeking a talented and experienced Senior-level Front-end Software  to join our remote team. As a Senior-level , you will be responsible for designing, developing, and maintaining the front-end components of our applications. Collaboration with our backend  is crucial to ensuring smooth integration and optimal performance. Your role will be instrumental in shaping the future of our company and contributing to the success of our groundbreaking system.

PLEASE NOTE: This is an early stock-option, entrepreneurial opportunity - not a salaried job.

The company:
RI Software is a progressive and modern Ukrainian startup company founded by a team of like-minded individuals with the goal of improving the efficiency of businesses and fostering their  to enhance the overall economy of the countries where our services are available. Consequently, our team has successfully created RI Business. Of course, we have no intention of stopping here; we have ambitious plans that we are determined to bring to fruition.


Compensation:
We are a pre-money start-up with members internationally who work remotely. These passionate members contribute through work for early stock options. The stake shared is the 'fair market stake basis' for startups for the role's equity value and potential future stake post-launch. This means that the stake mentioned is based on what is considered fair within the market for startup companies. It takes into account both the equity (ownership in the company) being offered and the potential stake that could be earned in the future, especially after the startup has been launched. Essentially, it's a way to determine a reasonable compensation package for a particular role within a startup, considering both current and future possibilities.


We are seeking someone who:
* has experience in the startup ecosystem and/or is looking to expand to more disruptive Saas industries;
* has an open mind to a unique venture that makes everybody curious and many to consider joining an early-stage startup to earn ownership options;
* appreciates and considers investing their time entrepreneurially;


Responsibilities:
- Design, , and maintain robust and scalable front-end applications using relevant programming languages and frameworks.
- Work closely with backend  to seamlessly integrate user-facing elements with server-side logic.
- Implement and manage APIs to facilitate seamless data communication between various services.
- Collaborate with the team to analyze project requirements, propose technical solutions, and provide accurate  estimates.
- Conduct comprehensive testing and debugging to identify and resolve issues, ensuring the delivery of high-quality products.
- Stay abreast of industry trends and best practices, continuously enhancing your front-end  skills and knowledge.

Qualifications:
- Demonstrated experience as a Senior-level Front-end Software .
- Proficiency in front-end programming languages (e.g., React, TypeScript, Redux) and related frameworks.
- Familiarity with security best practices and a track record of implementing security measures in front-end applications.
- Strong problem-solving skills and the ability to work both independently and collaboratively within a remote team environment.
- Excellent communication skills, with the ability to effectively convey complex technical concepts.","Developer","Developer","developer","","Redux","React","TypeScript","Git","","5 to 10",""
"Needed for Shopify App","https://www.upwork.com/jobs/span-class-highlight-Full-span-span-class-highlight-Stack-span-span-class-highlight-Developer-span-Needed-for-Shopify-App-span-class-highlight-Development-span_~021915334218264103277/?referrer_url_path=/nx/search/jobs/","Full","Stack","Payment unverified","Rating is 0 out of 5.","0","No feedback yet","$0","India","Fixed price","Intermediate","Est. budget:","$1,000.00","We are seeking a talented -time    to assist in the  of our custom-built Shopify app. The ideal candidate will have experience with both front-end and back-end technologies, ensuring seamless integration and functionality. You will work closely with our team to bring innovative ideas to life, improve app performance, and troubleshoot any issues that arise. If you’re passionate about e-commerce and have a knack for creating user-friendly applications, we’d love to hear from you!","full","full","stack","","Node.js","React","JavaScript","Shopify","CSS 3","Less than 5",""
"Dev for Lovable AI + Supabase Service Marketplace","https://www.upwork.com/jobs/span-class-highlight-Full-span-span-class-highlight-Stack-span-Dev-for-Lovable-Supabase-Service-Marketplace_~021915347003452926109/?referrer_url_path=/nx/search/jobs/","Full","Stack","Payment verified","Rating is 5.0 out of 5.","5.0","5.00 Stars, based on 2 feedbacks","$1K+","Ukraine","Fixed price","Expert","Est. budget:","$300.00","🛠 Overview:
We are looking to hire a -  or Team to finalize a partially completed AI-generated web application built using Lovable AI and Supabase. The platform is a service-based marketplace with e-commerce dynamics, designed for a niche sector involving skilled professionals and local client interaction.

A significant portion of the platform was generated using Lovable AI; however, we are now entering a critical stage where manual customization, logic implementation, and UI refinements are necessary.

✅ Requirements:
Familiarity with Lovable AI and its code generation processes

Proficient with Supabase (Authentication, Database, Storage)

Strong hands-on experience in React.js / Next.js / Node.js or equivalent - JavaScript frameworks

Ability to manually edit and extend existing code, not just rely on auto-generated logic

Experience building or maintaining service marketplaces or task-based platforms

Capable of implementing region-specific configurations, role-based dashboards, and custom user interactions

Must be comfortable working independently and delivering clean, maintainable code

⚙️ Scope of Work:
Manual refinement of Lovable-generated web app

Implementation of business-specific rules and features

UI/UX adjustments and functional integrations not handled by AI

Region-based logic (e.g., currency, zip code filtering, user roles)

Finalizing dashboard flows and secure messaging between users

Bug fixing and polish based on detailed documentation

📁 What We Provide:
Current AI-generated source code

Platform access through Lovable.dev

In-depth written documentation

Scheduled screen sharing session to walk through existing progress

Ongoing support and direct feedback during 

🔒 NDA Requirement:
Shortlisted candidates must sign a Non-Disclosure Agreement before  project access and briefing. This ensures protection of sensitive business strategies and proprietary structures.

💬 To Apply:
Please include the following in your message:

Examples of similar - projects (especially if AI-assisted or Supabase-backed)

Confirmation of your experience with Lovable.dev or equivalent tools

Your availability and time zone

Willingness to make manual code changes and follow specific project documentation

Confirmation of NDA compliance

If selected, you’ll play a key role in completing a modern web application that combines AI innovation with real-world service delivery logic.","Full","Stack","Developer","","Supabase","API","React","Node.js","API Integration","15 to 20","Database Architecture"
"Gen AI Fullstack  for PWA","https://www.upwork.com/jobs/Gen-Fullstack-span-class-highlight-Developer-span-for-PWA_~021915303572663887883/?referrer_url_path=/nx/search/jobs/","Developer","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","India","Fixed price","Intermediate","Est. budget:","$2,500.00","Project K is an internal AI platform that blends multiple large language models, image generation tools, and CRM data insights. The core objective is to  an elegant, minimalistic dark-themed PWA inspired by Gemini and Apple. Figma designs are already completed and serve as the blueprint for all front-end and back-end integrations.

________________________________________
2. Project Objectives & Scope

1.	Front-End Implementation
o	Convert finalized Figma designs into responsive, production-ready HTML/CSS/JS (preferably React.js + TypeScript or Vue.js + TypeScript).
o	Ensure a dark, futuristic theme with neon blue and pastel pink accents.
o	Implement micro interactions, hover states, and animations consistent with the Figma prototype.
2.	AI & API Integrations( Plug and Play support for admin)
o	OpenAI (ChatGPT-like) for advanced text queries.
o	Gemini for free, quick text searches.
o	Flux for image generation (Kreate).
o	RAG engine and CRM connectivity (via a module called “Northstar”) for internal data retrieval and context-aware answers.
3.	Modular Pages / Flows
o	Landing (Hero) Page: Space-themed, planets representing projects, “Sign In” & “Sign Up” CTAs.
o	Login/Signup Page: Single sign-on (SSO) with Microsoft (networkscience.ai domain).
o	Dashboard: Personalized usage metrics, recent activity, and three main buttons: Chat Interface (Konverse), Image Generation (Kreate), CRM Insights (Klarity).
o	Chat Interface (Konverse): Top bar model switcher (Gemini, OpenAI), text-based queries, chat bubbles, and a typing indicator.
o	Image Generation (Kreate): Flux model integration, prompt input, image display, private/community toggle.
o	CRM Insights (Klarity): Chat-like interface with top navigation to query CRM data.
o	Admin Page: Exclusive view with user management, usage controls, system logs, and admin-level chat oversight.
4.	AWS Hosting & Deployment
o	Containerize the application (Docker).
o	Deploy on AWS (e.g., EC2, ECS, EKS) with best practices for security, load balancing, and monitoring.
o	The client will cover all hosting and infrastructure costs.
5.	Timeline:
o	Start Date: April 1st
o	End Date: Approximately one month from start (target completion by end of April).
6.	Disclaimer (Design Changes)
o	Per the Figma Requirement Document: The design details and colors may evolve slightly, but overall concepts, structure, and user flows remain unchanged.
________________________________________
3. Deliverables
1.	Functional Front-End
o	Fully implemented responsive layouts matching Figma screens: Hero, Login, Dashboard, Chat (Konverse), Image Generation (Kreate), CRM Insights (Klarity), Admin, Settings, etc.
o	Integrated microinteractions, transitions, and animations.
2.	Secure Back-End / API Layer
o	Node.js (Express) or Python (Flask/FastAPI) microservices.
o	Endpoints for text queries, image generation requests, CRM data retrieval, user management, and admin operations.
o	Usage tracking (token counts), cost monitoring, and user roles (admin vs. standard).
3.	AI Model Integrations
o	Connect with OpenAI and Gemini for text queries and advanced reasoning.
o	Implement Flux API calls for image generation.
o	RAG engine to fetch relevant data from internal knowledge bases and CRM.
4.	Admin Functionality
o	Single-page or multi-page admin section enabling monthly usage limit setting, system log access, and user management.
o	Options to change roles (make admin), suspend users, and monitor queries.
5.	Deployment on AWS
o	Containerized services (Docker) orchestrated in AWS (ECS, EKS, or EC2-based approach).
o	Proper environment configuration (secrets, keys, endpoints).
o	Monitoring (CloudWatch) and logging solution for event tracking.
6.	Documentation & Handover
o	Source code repositories (Git).
o	Deployment instructions and environment setup details.
o	In-line code comments and a short operational user guide for internal staff.","develop","","","","JavaScript","AngularJS","React","HTML5","Node.js","5 to 10",""
"CI/CD, Appointment Flow, and SMS Channel for AI Voice App","https://www.upwork.com/jobs/Appointment-Flow-and-SMS-Channel-for-Voice-App_~021915390149853202797/?referrer_url_path=/nx/search/jobs/","","","Payment verified","Rating is 4.9 out of 5.","4.9","4.94 Stars, based on 7 feedbacks","$1K+","United States","Fixed price","Entry Level","Est. budget:","$260.00","DialX(dialx.xyz) is an AI-powered phone receptionist that answers calls, handles FAQs, and books appointments for auto shops and salons. The backend is a Flask API that talks to Twilio Voice, Bland API, Postgres, and OpenAI. We need a rockstar dev to build/enhance some features!

Scope of Work

CI/CD Pipeline
• Automate tests, linting, and deploys via Heroku so that we ensure deploys don't break prod
• Add staging + production environments with zero-downtime rollouts

Finish Appointment Feature
• Complete the booking flow in our existing call script. (This fetaire has mainly been developed and just requires a few things to be finalized)
• Sync with Google Calendar 


Add Texting Feature
• When a call can’t be answered, trigger an SMS opt-in prompt
• Enable two-way texting between customer and shop, persisting chat history
• Re-use the same business logic and permissions already built for voice

Required Skills

Advanced Python & Flask

Twilio Voice + Messaging APIs

CI/CD automation (Writing clean, test-covered code)



Please only reach out if you are okay with the budget.","","","","","Twilio API","Flask","CI/CD","Python","Heroku","5 to 10",""
"Experienced PHP/Laravel/Filament  Needed","https://www.upwork.com/jobs/Experienced-PHP-Laravel-Filament-span-class-highlight-Developer-span-Needed_~021915347745400137885/?referrer_url_path=/nx/search/jobs/","Developer","","Payment verified","Rating is 0 out of 5.","0","No feedback yet","$0","Slovenia","Hourly: $10.00 - $20.00","Intermediate","Est. time:","Less than 1 month, Hours to be determined","We are building a web app based on Filament and need a  to help out with  of clearly defined requirements.

For starters, user role and site management must be implemented.
All the details regarding the task are in the GitHub issue:
https://github.com/DataLinx/eclipsephp-core/issues/5

The contribution will be open-source.

1. Our PHP  guidelines should be followed:
https://github.com/DataLinx/php-package-template/blob/main/docs/Documentation.md
2. Our Filament app  docs (WIP) will also be helpful:
https://github.com/DataLinx/eclipsephp-core/blob/main/docs/Documentation.md
3. Any PRs will generally need to adhere to these before being merged and the task being considered as done.","developer","development","development","","Laravel","PHP","","","","5 to 10",""
